"country","density","densityMi","population","area"
"Moldova",101.2591,262.2611,3329865,33846
"Puerto Rico",368.5233,954.4754,3268802,8870
"Bosnia and Herzegovina",62.3902,161.5906,3194378,51209
"Gambia",280.8106,727.2994,2841803,10689
"Albania",103.1394,267.1311,2826020,28748
"Jamaica",260.8253,675.5375,2824738,10991
"Armenia",97.5757,252.721,2777979,29743
"Qatar",238.2124,616.9702,2737061,11586
"Botswana",4.7989,12.4292,2719694,582000
"Lithuania",43.0022,111.3757,2692798,65300
"Namibia",3.2137,8.3235,2645805,825615
"Gabon",9.6424,24.9738,2484557,267668
"Lesotho",77.6048,200.9965,2356083,30355
"Guinea-Bissau",78.1347,202.369,2197149,36125
"Slovenia",105.2306,272.5472,2118965,20273
"North Macedonia",82.5815,213.8861,2082706.0000000002,25713
"Latvia",29.0895,75.3418,1810240,64559
"Equatorial Guinea",62.5666,162.0475,1754993,28051
"Trinidad and Tobago",299.8441,776.5961,1538200,5130
"Bahrain",1909.1873,4944.795,1498712,765
"Timor-Leste",92.7964,240.3428,1379883,14874
"Estonia",30.8548,79.9138,1319041,45227
"Mauritius",641.3685,1661.1443,1301978,2040
"Cyprus",137.28,355.5551,1268467,9251
"Eswatini",71.0509,184.0218,1222075,17364
"Djibouti",49.7122,128.7546,1152329,23200
"Reunion",393.8495,1020.0703,989350,2511
"Fiji",51.6186,133.6922,943072,18272
"Comoros",466.2037,1207.4675,867605,1862
"Guyana",4.1635,10.7836,819594,214969
"Bhutan",20.7756,53.8088,792382,38394
"Solomon Islands",27.0337,70.0173,756673,28896
"Macau",21674.2249,56136.2426,713082,32.9
"Luxembourg",256.9796,665.5772,661594,2586
"Suriname",4.0307,10.4394,628785,163820
"Montenegro",46.5503,120.5654,626102,13812
"Cape Verde",149.8788,388.186,604461,4033
"Western Sahara",2.2496,5.8264,598385,266000
"Malta",1677.3125,4344.2394,536740,316
"Maldives",1726.29,4471.0911,517886.99999999994,300
"Brunei",86.5006,224.0365,455858,5765
"Belize",18.2664,47.3099,416656,22966
"Bahamas",41.4808,107.4353,415223,13943
"Guadeloupe",243.4558,630.5505,396346,1628
"Iceland",3.7458,9.7016,377689,103000
"Martinique",324.8369,841.3275,366416,1128
"Mayotte",925.123,2396.0686,345996,374
"Vanuatu",28.0824,72.7335,342325,12189
"French Guiana",3.8283,9.9154,319796,83534
"French Polynesia",89.7099,232.3486,311383,4167
"New Caledonia",16.1907,41.9339,295966,18575
"Barbados",656.5326,1700.4193,282309,430
"Sao Tome and Principe",246.2302,637.7362,236381,964
"Samoa",82.3619,213.3172,228966,2842
"Curacao",434.6059,1125.6292,192965,444
"Saint Lucia",296.4016,767.6802,180805,616
"Guam",322.4333,835.1023,174114,549
"Kiribati",167.6086,434.1064,135763,811
"Grenada",373.1971,966.5804,126887,344
"Micronesia",166.1429,430.31,116300,702
"Jersey",940.3583,2435.5281,112843,116
"Tonga",150.9486,390.9569,108683,747
"Seychelles",235.3543,609.5678,108263,452
"Aruba",589.8722,1527.7691,106177,180
"Saint Vincent and the Grenadines",265.8538,688.5615,103683,389
"United States Virgin Islands",282.5793,731.8803,98055,347
"Antigua and Barbuda",215.4909,558.1215,94816,442
"Isle of Man",148.9544,385.7919,84904,572
"Andorra",170.9383,442.7302,80341,468
"Dominica",97.824,253.3642,73368,751
"Cayman Islands",291.1875,754.1756,69885,264
"Bermuda",1183.9815,3066.512,63935,54
"Guernsey",1012.5079,2622.3956,63788,78
"Greenland",0.1384,0.3583,56789,2166086
"Faroe Islands",39.1245,101.3323,53444,1393
"Northern Mariana Islands",108.75,281.6625,50025,464
"Saint Kitts and Nevis",184.0269,476.6297,47847,261
"Turks and Caicos Islands",48.9778,126.8526,46431,948
"Sint Maarten",1303.2059,3375.3032,44309,34
"American Samoa",217.72,563.8948,43544,199
"Marshall Islands",235.6389,610.3047,42415,181
"Liechtenstein",248.8875,644.6186,39822,160
"Monaco",18078.5,46823.315,36157,2.02
"San Marino",560.2333,1451.0043,33614,61
"Gibraltar",4811.4706,12461.7088,32718.000000000004,6.8
"Saint Martin",646.74,1675.0566,32337.000000000004,53
"British Virgin Islands",211.7533,548.4411,31763,151
"Palau",39.2413,101.635,18051,459
"Cook Islands",71.1333,184.2353,17072,240
"Anguilla",175.1209,453.5631,15936,91
"Nauru",644.2,1668.478,12884,21
"Tuvalu",382.6,990.934,11478,26
"Wallis and Futuna",41.7482,108.1278,11439,274
"Saint Barthelemy",440.76,1141.5684,11019,21
"Saint Pierre and Miquelon",24.0289,62.2349,5815,242
"Montserrat",42.8627,111.0145,4372,102
"Falkland Islands",0.3124,0.8091,3803,12173
"Niue",7.4138,19.2017,1935,261
"Tokelau",191.5,495.985,1915,12
"Vatican City",1736.3636,4497.1818,764,0.44
